puzzle	date	reason	word1	word2	word3	word4
116	October 5th, 2023	DIVISION	ARM	 BRANCH	 CHAPTER	 WING
116	October 5th, 2023	IMPERIAL UNITS	BUSHEL	 PECK	 STONE	 TON
116	October 5th, 2023	M.L.B. TEAM MEMBER	ANGEL	 CUB	 MET	 RED
116	October 5th, 2023	INSECT HOMOPHONES	AUNT	 BEATLE	 FLEE	 NAT
115	October 4th, 2023	CHRISTMAS-RELATED	MISTLETOE	 REINDEER	 SNOWMAN	 STOCKING
115	October 4th, 2023	MAKE PUBLIC	DISPLAY	 EXHIBIT	 PRESENT	 SHOW
115	October 4th, 2023	TORUS-SHAPED FOOD	BAGEL	 CHEERIO	 DONUT	 LIFESAVER
115	October 4th, 2023	THINGS WITH STRIPES	CANDY CANE	 CROSSWALK	 REFEREE	 TIGER
114	October 3rd, 2023	LONG-HAIRED ANIMALS	AFGHAN	 ALPACA	 ANGORA	 YAK
114	October 3rd, 2023	PRATTLE ON	BLATHER	 CHAT	 JABBER	 GAB
114	October 3rd, 2023	SNEAKER BRANDS	CONVERSE	 JORDAN	 PUMA	 VANS
114	October 3rd, 2023	___ BALLOON	LEAD	 SPEECH	 TRIAL	 WATER
113	October 2nd, 2023	WAYS TO SHOW RESPECT	BOW	 KNEEL	 SALUTE	 STAND
113	October 2nd, 2023	IPHONE APPS	CLOCK	 MAIL	 MAPS	 NOTES
113	October 2nd, 2023	ANIMAL COVERINGS	DOWN	 FUR	 SCALES	 SHELL
113	October 2nd, 2023	“POINTERS”	ARROW	 DOG	 FINGER	 HINT
112	October 1st, 2023	COFFEE COUNTER ITEMS	CUP	 LID	 STIRRER	 STRAW
112	October 1st, 2023	NOCTURNAL ANIMALS	BAT	 MOTH	 OWL	 WOLF
112	October 1st, 2023	THINGS THAT ARE RED	BEET	 BRICK	 CARDINAL	 POPPY
112	October 1st, 2023	___ FIGURE	ACTION	 BALLPARK	 GO	 STICK
